Route,Route_Category
DXB-AMM,Short Haul
DXB-BAH,Short Haul
DXB-BKK,Long Haul
DXB-BLR,Medium Haul
DXB-BOM,Medium Haul
DXB-CAI,Short Haul
DXB-CDG,Long Haul
DXB-CMB,Medium Haul
DXB-DEL,Medium Haul
DXB-DOH,Short Haul
DXB-FRA,Long Haul
DXB-HKG,Long Haul
DXB-HYD,Medium Haul
DXB-IST,Medium Haul
DXB-JED,Short Haul
DXB-JFK,Long Haul
DXB-KHI,Medium Haul
DXB-KUL,Long Haul
DXB-KWI,Short Haul
DXB-LAX,Long Haul
DXB-LHE,Medium Haul
DXB-LHR,Medium Haul
DXB-MAA,Medium Haul
DXB-MCT,Short Haul
DXB-MEL,Long Haul
DXB-ORD,Long Haul
DXB-RUH,Short Haul
DXB-SFO,Long Haul
DXB-SIN,Long Haul
DXB-SYD,Long Haul
